default,name,form,type1,type2,ability1,ability2,abilityh,base stat total,hp,attack,defense,special attack,special defense,speed,group1,group2,catch_rate,egg_cycles,base_happiness,category,percentage_male,exp_group,height_m,weight_kg,pokedex,item_common,item_uncommon,item_rare,exp_yield
,Pidgeot,,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,479,83,80,75,70,70,101,,,45,15,70,Bird,0.5,Parabolic,1.5,39.5,,,,,211
,Rattata,,Normal,,Run Away,Guts,Hustle,253,30,56,35,25,35,72,,,255,15,70,Mouse,0.5,Medium,0.3,3.5,,,,,51
,Raticate,,Normal,,Run Away,Guts,Hustle,413,55,81,60,50,70,97,,,127,15,70,Mouse,0.5,Medium,0.7,18.5,,,,,145
,Spearow,,Normal,Flying,Keen Eye,Keen Eye,Sniper,262,40,60,30,31,31,70,,,255,15,70,Tiny Bird,0.5,Medium,0.3,2.0,,,,,52
,Fearow,,Normal,Flying,Keen Eye,Keen Eye,Sniper,442,65,90,65,61,61,100,,,90,15,70,Beak,0.5,Medium,1.2,38.0,,,,,155
,Ekans,,Poison,,Intimidate,Shed Skin,Unnerve,288,35,60,44,40,54,55,,,255,20,70,Snake,0.5,Medium,2.0,6.9,,,,,58
,Arbok,,Poison,,Intimidate,Shed Skin,Unnerve,438,60,85,69,65,79,80,,,90,20,70,Cobra,0.5,Medium,3.5,65.0,,,,,153
,Pikachu,,Electric,,Static,Static,Lightning Rod,320,35,55,40,50,50,90,,,190,10,70,Mouse,0.5,Medium,0.4,6.0,,,,,105
,Raichu,,Electric,,Static,Static,Lightning Rod,485,60,90,55,90,80,110,,,75,10,70,Mouse,0.5,Medium,0.8,30.0,,,,,214
,Sandshrew,,Ground,,Sand Veil,Sand Veil,Sand Rush,300,50,75,85,20,30,40,,,255,20,70,Mouse,0.5,Medium,0.6,12.0,,,,,60
,Sandslash,,Ground,,Sand Veil,Sand Veil,Sand Rush,450,75,100,110,45,55,65,,,90,20,70,Mouse,0.5,Medium,1.0,29.5,,,,,158
,Nidoran,,Poison,,Poison Point,Rivalry,Hustle,275,55,47,52,40,40,41,,,235,20,70,Poison Pin,0,Parabolic,0.4,7.0,,,,,55
,Nidorina,,Poison,,Poison Point,Rivalry,Hustle,365,70,62,67,55,55,56,,,120,20,70,Poison Pin,0,Parabolic,0.8,20.0,,,,,128
,Nidoqueen,,Poison,Ground,Poison Point,Rivalry,Sheer Force,505,90,92,87,75,85,76,,,45,20,70,Drill,0,Parabolic,1.3,60.0,,,,,223
,Nidoran,,Poison,,Poison Point,Rivalry,Hustle,273,46,57,40,40,40,50,,,235,20,70,Poison Pin,1,Parabolic,0.5,9.0,,,,,55
,Nidorino,,Poison,,Poison Point,Rivalry,Hustle,365,61,72,57,55,55,65,,,120,20,70,Poison Pin,1,Parabolic,0.9,19.5,,,,,128
,Nidoking,,Poison,Ground,Poison Point,Rivalry,Sheer Force,505,81,102,77,85,75,85,,,45,20,70,Drill,1,Parabolic,1.4,62.0,,,,,223
,Clefairy,,Fairy,,Cute Charm,Magic Guard,Friend Guard,323,70,45,48,60,65,35,,,150,10,140,Fairy,0.25,Fast,0.6,7.5,,,,,113
,Clefable,,Fairy,,Cute Charm,Magic Guard,Unaware,483,95,70,73,95,90,60,,,25,10,140,Fairy,0.25,Fast,1.3,40.0,,,,,213
,Vulpix,,Fire,,Flash Fire,Flash Fire,Drought,299,38,41,40,50,65,65,,,190,20,70,Fox,0.25,Medium,0.6,9.9,,,,,60
,Ninetales,,Fire,,Flash Fire,Flash Fire,Drought,505,73,76,75,81,100,100,,,75,20,70,Fox,0.25,Medium,1.1,19.9,,,,,177
,Jigglypuff,,Normal,Fairy,Cute Charm,Competitive,Friend Guard,270,115,45,20,45,25,20,,,170,10,70,Balloon,0.25,Fast,0.5,5.5,,,,,95
,Wigglytuff,,Normal,Fairy,Cute Charm,Competitive,Frisk,435,140,70,45,85,50,45,,,50,10,70,Balloon,0.25,Fast,1.0,12.0,,,,,191
,Zubat,,Poison,Flying,Inner Focus,Inner Focus,Infiltrator,245,40,45,35,30,40,55,,,255,15,70,Bat,0.5,Medium,0.8,7.5,,,,,49
,Golbat,,Poison,Flying,Inner Focus,Inner Focus,Infiltrator,455,75,80,70,65,75,90,,,90,15,70,Bat,0.5,Medium,1.6,55.0,,,,,159
,Oddish,,Grass,Poison,Chlorophyll,Chlorophyll,Run Away,320,45,50,55,75,65,30,,,255,20,70,Weed,0.5,Parabolic,0.5,5.4,,,,,64
,Gloom,,Grass,Poison,Chlorophyll,Chlorophyll,Stench,395,60,65,70,85,75,40,,,120,20,70,Weed,0.5,Parabolic,0.8,8.6,,,,,138
,Vileplume,,Grass,Poison,Chlorophyll,Chlorophyll,Effect Spore,490,75,80,85,110,90,50,,,45,20,70,Flower,0.5,Parabolic,1.2,18.6,,,,,216
,Paras,,Bug,Grass,Effect Spore,Dry Skin,Damp,285,35,70,55,45,55,25,,,190,20,70,Mushroom,0.5,Medium,0.3,5.4,,,,,57
,Parasect,,Bug,Grass,Effect Spore,Dry Skin,Damp,405,60,95,80,60,80,30,,,75,20,70,Mushroom,0.5,Medium,1.0,29.5,,,,,142
,Venonat,,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,305,60,55,50,40,55,45,,,190,20,70,Insect,0.5,Medium,1.0,30.0,,,,,61
,Venomoth,,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,450,70,65,60,90,75,90,,,75,20,70,Poison Moth,0.5,Medium,1.5,12.5,,,,,158
,Diglett,,Ground,,Sand Veil,Arena Trap,Sand Force,265,10,55,25,35,45,95,,,255,20,70,Mole,0.5,Medium,0.2,0.8,,,,,53
,Dugtrio,,Ground,,Sand Veil,Arena Trap,Sand Force,405,35,80,50,50,70,120,,,50,20,70,Mole,0.5,Medium,0.7,33.3,,,,,142
,Meowth,,Normal,,Pickup,Technician,Unnerve,290,40,45,35,40,40,90,,,255,20,70,Scratch Cat,0.5,Medium,0.4,4.2,,,,,58
,Persian,,Normal,,Limber,Technician,Unnerve,440,65,70,60,65,65,115,,,90,20,70,Classy Cat,0.5,Medium,1.0,32.0,,,,,154
,Psyduck,,Water,,Damp,Cloud Nine,Swift Swim,320,50,52,48,65,50,55,,,190,20,70,Duck,0.5,Medium,0.8,19.6,,,,,64
,Golduck,,Water,,Damp,Cloud Nine,Swift Swim,500,80,82,78,95,80,85,,,75,20,70,Duck,0.5,Medium,1.7,76.6,,,,,175
,Mankey,,Fighting,,Vital Spirit,Anger Point,Defiant,305,40,80,35,35,45,70,,,190,20,70,Pig Monkey,0.5,Medium,0.5,28.0,,,,,61
,Primeape,,Fighting,,Vital Spirit,Anger Point,Defiant,455,65,105,60,60,70,95,,,75,20,70,Pig Monkey,0.5,Medium,1.0,32.0,,,,,159
,Growlithe,,Fire,,Intimidate,Flash Fire,Justified,350,55,70,45,70,50,60,,,190,20,70,Puppy,0.75,Slow,0.7,19.0,,,,,70
,Arcanine,,Fire,,Intimidate,Flash Fire,Justified,555,90,110,80,100,80,95,,,75,20,70,Legendary,0.75,Slow,1.9,155.0,,,,,194
,Poliwag,,Water,,Water Absorb,Damp,Swift Swim,300,40,50,40,40,40,90,,,255,20,70,Tadpole,0.5,Parabolic,0.6,12.4,,,,,60
,Poliwhirl,,Water,,Water Absorb,Damp,Swift Swim,385,65,65,65,50,50,90,,,120,20,70,Tadpole,0.5,Parabolic,1.0,20.0,,,,,135
,Poliwrath,,Water,Fighting,Water Absorb,Damp,Swift Swim,510,90,95,95,70,90,70,,,45,20,70,Tadpole,0.5,Parabolic,1.3,54.0,,,,,225
,Abra,,Psychic,,Synchronize,Inner Focus,Magic Guard,310,25,20,15,105,55,90,,,200,20,70,Psi,0.75,Parabolic,0.9,19.5,,,,,62
,Kadabra,,Psychic,,Synchronize,Inner Focus,Magic Guard,400,40,35,30,120,70,105,,,100,20,70,Psi,0.75,Parabolic,1.3,56.5,,,,,140
,Alakazam,,Psychic,,Synchronize,Inner Focus,Magic Guard,500,55,50,45,135,95,120,,,50,20,70,Psi,0.75,Parabolic,1.5,48.0,,,,,221
,Machop,,Fighting,,Guts,No Guard,Steadfast,305,70,80,50,35,35,35,,,180,20,70,Superpower,0.75,Parabolic,0.8,19.5,,,,,61
,Machoke,,Fighting,,Guts,No Guard,Steadfast,405,80,100,70,50,60,45,,,90,20,70,Superpower,0.75,Parabolic,1.5,70.5,,,,,142
,Machamp,,Fighting,,Guts,No Guard,Steadfast,505,90,130,80,65,85,55,,,45,20,70,Superpower,0.75,Parabolic,1.6,130.0,,,,,227
,Bellsprout,,Grass,Poison,Chlorophyll,Chlorophyll,Gluttony,300,50,75,35,70,30,40,,,255,20,70,Flower,0.5,Parabolic,0.7,4.0,,,,,60
,Weepinbell,,Grass,Poison,Chlorophyll,Chlorophyll,Gluttony,390,65,90,50,85,45,55,,,120,20,70,Flycatcher,0.5,Parabolic,1.0,6.4,,,,,137
,Victreebel,,Grass,Poison,Chlorophyll,Chlorophyll,Gluttony,490,80,105,65,100,70,70,,,45,20,70,Flycatcher,0.5,Parabolic,1.7,15.5,,,,,216
,Tentacool,,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,335,40,40,35,50,100,70,,,190,20,70,Jellyfish,0.5,Slow,0.9,45.5,,,,,67
,Tentacruel,,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,515,80,70,65,80,120,100,,,60,20,70,Jellyfish,0.5,Slow,1.6,55.0,,,,,180
,Geodude,,Rock,Ground,Rock Head,Sturdy,Sand Veil,300,40,80,100,30,30,20,,,255,15,70,Rock,0.5,Parabolic,0.4,20.0,,,,,60
,Graveler,,Rock,Ground,Rock Head,Sturdy,Sand Veil,390,55,95,115,45,45,35,,,120,15,70,Rock,0.5,Parabolic,1.0,105.0,,,,,137
,Golem,,Rock,Ground,Rock Head,Sturdy,Sand Veil,495,80,120,130,55,65,45,,,45,15,70,Megaton,0.5,Parabolic,1.4,300.0,,,,,218
,Ponyta,,Fire,,Run Away,Flash Fire,Flame Body,410,50,85,55,65,65,90,,,190,20,70,Fire Horse,0.5,Medium,1.0,30.0,,,,,82
,Rapidash,,Fire,,Run Away,Flash Fire,Flame Body,500,65,100,70,80,80,105,,,60,20,70,Fire Horse,0.5,Medium,1.7,95.0,,,,,175
,Slowpoke,,Water,Psychic,Oblivious,Own Tempo,Regenerator,315,90,65,65,40,40,15,,,190,20,70,Dopey,0.5,Medium,1.2,36.0,,,,,63
,Slowbro,,Water,Psychic,Oblivious,Own Tempo,Regenerator,490,95,75,110,100,80,30,,,75,20,70,Hermit Crab,0.5,Medium,1.6,78.5,,,,,172
,Magnemite,,Electric,Steel,Magnet Pull,Sturdy,Analytic,325,25,35,70,95,55,45,,,190,20,70,Magnet,None,Medium,0.3,6.0,,,,,89
,Magneton,,Electric,Steel,Magnet Pull,Sturdy,Analytic,465,50,60,95,120,70,70,,,60,20,70,Magnet,None,Medium,1.0,60.0,,,,,163
,Farfetch'd,,Normal,Flying,Keen Eye,Inner Focus,Defiant,352,52,65,55,58,62,60,,,45,20,70,Wild Duck,0.5,Medium,0.8,15.0,,,,,123
,Doduo,,Normal,Flying,Run Away,Early Bird,Tangled Feet,310,35,85,45,35,35,75,,,190,20,70,Twin Bird,0.5,Medium,1.4,39.2,,,,,62
,Dodrio,,Normal,Flying,Run Away,Early Bird,Tangled Feet,460,60,110,70,60,60,100,,,45,20,70,Triple Bird,0.5,Medium,1.8,85.2,,,,,161
,Seel,,Water,,Thick Fat,Hydration,Ice Body,325,65,45,55,45,70,45,,,190,20,70,Sea Lion,0.5,Medium,1.1,90.0,,,,,65
,Dewgong,,Water,Ice,Thick Fat,Hydration,Ice Body,475,90,70,80,70,95,70,,,75,20,70,Sea Lion,0.5,Medium,1.7,120.0,,,,,166
,Grimer,,Poison,,Stench,Sticky Hold,Poison Touch,325,80,80,50,40,50,25,,,190,20,70,Sludge,0.5,Medium,0.9,30.0,,,,,65
,Muk,,Poison,,Stench,Sticky Hold,Poison Touch,500,105,105,75,65,100,50,,,75,20,70,Sludge,0.5,Medium,1.2,30.0,,,,,175
,Shellder,,Water,,Shell Armor,Skill Link,Overcoat,305,30,65,100,45,25,40,,,190,20,70,Bivalve,0.5,Slow,0.3,4.0,,,,,61
,Cloyster,,Water,Ice,Shell Armor,Skill Link,Overcoat,525,50,95,180,85,45,70,,,60,20,70,Bivalve,0.5,Slow,1.5,132.5,,,,,184
,Gastly,,Ghost,Poison,Levitate,Levitate,Levitate,310,30,35,30,100,35,80,,,190,20,70,Gas,0.5,Parabolic,1.3,0.1,,,,,62
,Haunter,,Ghost,Poison,Levitate,Levitate,Levitate,405,45,50,45,115,55,95,,,90,20,70,Gas,0.5,Parabolic,1.6,0.1,,,,,142
,Gengar,,Ghost,Poison,Levitate,Levitate,Levitate,500,60,65,60,130,75,110,,,45,20,70,Shadow,0.5,Parabolic,1.5,40.5,,,,,225
,Onix,,Rock,Ground,Rock Head,Sturdy,Weak Armor,385,35,45,160,30,45,70,,,45,25,70,Rock Snake,0.5,Medium,8.8,210.0,,,,,77
,Drowzee,,Psychic,,Insomnia,Forewarn,Inner Focus,328,60,48,45,43,90,42,,,190,20,70,Hypnosis,0.5,Medium,1.0,32.4,,,,,66
,Hypno,,Psychic,,Insomnia,Forewarn,Inner Focus,483,85,73,70,73,115,67,,,75,20,70,Hypnosis,0.5,Medium,1.6,75.6,,,,,169
,Krabby,,Water,,Hyper Cutter,Shell Armor,Sheer Force,325,30,105,90,25,25,50,,,225,20,70,River Crab,0.5,Medium,0.4,6.5,,,,,65
,Kingler,,Water,,Hyper Cutter,Shell Armor,Sheer Force,475,55,130,115,50,50,75,,,60,20,70,Pincer,0.5,Medium,1.3,60.0,,,,,166
,Voltorb,,Electric,,Soundproof,Static,Aftermath,330,40,30,50,55,55,100,,,190,20,70,Ball,None,Medium,0.5,10.4,,,,,66
,Electrode,,Electric,,Soundproof,Static,Aftermath,480,60,50,70,80,80,140,,,60,20,70,Ball,None,Medium,1.2,66.6,,,,,168
,Exeggcute,,Grass,Psychic,Chlorophyll,Chlorophyll,Harvest,325,60,40,80,60,45,40,,,90,20,70,Egg,0.5,Slow,0.4,2.5,,,,,65
,Exeggutor,,Grass,Psychic,Chlorophyll,Chlorophyll,Harvest,520,95,95,85,125,65,55,,,45,20,70,Coconut,0.5,Slow,2.0,120.0,,,,,182
,Cubone,,Ground,,Rock Head,Lightning Rod,Battle Armor,320,50,50,95,40,50,35,,,190,20,70,Lonely,0.5,Medium,0.4,6.5,,,,,64
,Marowak,,Ground,,Rock Head,Lightning Rod,Battle Armor,425,60,80,110,50,80,45,,,75,20,70,Bone Keeper,0.5,Medium,1.0,45.0,,,,,149
,Hitmonlee,,Fighting,,Limber,Reckless,Unburden,455,50,120,53,35,110,87,,,45,25,70,Kicking,1,Medium,1.5,49.8,,,,,159
,Hitmonchan,,Fighting,,Keen Eye,Iron Fist,Inner Focus,455,50,105,79,35,110,76,,,45,25,70,Punching,1,Medium,1.4,50.2,,,,,159
,Lickitung,,Normal,,Own Tempo,Oblivious,Cloud Nine,385,90,55,75,60,75,30,,,45,20,70,Licking,0.5,Medium,1.2,65.5,,,,,77
,Koffing,,Poison,,Levitate,Levitate,Levitate,340,40,65,95,60,45,35,,,190,20,70,Poison Gas,0.5,Medium,0.6,1.0,,,,,68
,Weezing,,Poison,,Levitate,Levitate,Levitate,490,65,90,120,85,70,60,,,60,20,70,Poison Gas,0.5,Medium,1.2,9.5,,,,,172
,Rhyhorn,,Ground,Rock,Lightning Rod,Rock Head,Reckless,345,80,85,95,30,30,25,,,120,20,70,Spikes,0.5,Slow,1.0,115.0,,,,,69
,Rhydon,,Ground,Rock,Lightning Rod,Rock Head,Reckless,485,105,130,120,45,45,40,,,60,20,70,Drill,0.5,Slow,1.9,120.0,,,,,170
,Chansey,,Normal,,Natural Cure,Serene Grace,Healer,450,250,5,5,35,105,50,,,30,40,140,Egg,0,Fast,1.1,34.6,,,,,139
,Tangela,,Grass,,Chlorophyll,Leaf Guard,Regenerator,435,65,55,115,100,40,60,,,45,20,70,Vine,0.5,Medium,1.0,35.0,,,,,87
,Kangaskhan,,Normal,,Early Bird,Scrappy,Inner Focus,490,105,95,80,40,80,90,,,45,20,70,Parent,0,Medium,2.2,80.0,,,,,172
,Horsea,,Water,,Swift Swim,Sniper,Damp,295,30,40,70,70,25,60,,,225,20,70,Dragon,0.5,Medium,0.4,8.0,,,,,59
,Seadra,,Water,,Poison Point,Sniper,Damp,440,55,65,95,95,45,85,,,75,20,70,Dragon,0.5,Medium,1.2,25.0,,,,,154
,Goldeen,,Water,,Swift Swim,Water Veil,Lightning Rod,320,45,67,60,35,50,63,,,225,20,70,Goldfish,0.5,Medium,0.6,15.0,,,,,64
,Seaking,,Water,,Swift Swim,Water Veil,Lightning Rod,450,80,92,65,65,80,68,,,60,20,70,Goldfish,0.5,Medium,1.3,39.0,,,,,158
,Staryu,,Water,,Illuminate,Natural Cure,Analytic,340,30,45,55,70,55,85,,,225,20,70,Star Shape,None,Slow,0.8,34.5,,,,,68
,Starmie,,Water,Psychic,Illuminate,Natural Cure,Analytic,520,60,75,85,100,85,115,,,60,20,70,Mysterious,None,Slow,1.1,80.0,,,,,182
,Mr. Mime,,Psychic,Fairy,Soundproof,Filter,Technician,460,40,45,65,100,120,90,,,45,25,70,Barrier,0.5,Medium,1.3,54.5,,,,,161
,Scyther,,Bug,Flying,Swarm,Technician,Steadfast,500,70,110,80,55,80,105,,,45,25,70,Mantis,0.5,Medium,1.5,56.0,,,,,100
,Jynx,,Ice,Psychic,Oblivious,Forewarn,Dry Skin,455,65,50,35,115,95,95,,,45,25,70,Human Shape,0,Medium,1.4,40.6,,,,,159
,Electabuzz,,Electric,,Static,Static,Vital Spirit,490,65,83,57,95,85,105,,,45,25,70,Electric,0.75,Medium,1.1,30.0,,,,,172
,Magmar,,Fire,,Flame Body,Flame Body,Vital Spirit,495,65,95,57,100,85,93,,,45,25,70,Spitfire,0.75,Medium,1.3,44.5,,,,,173
,Pinsir,,Bug,,Hyper Cutter,Mold Breaker,Moxie,500,65,125,100,55,70,85,,,45,25,70,Stag Beetle,0.5,Slow,1.5,55.0,,,,,175
,Tauros,,Normal,,Intimidate,Anger Point,Sheer Force,490,75,100,95,40,70,110,,,45,20,70,Wild Bull,1,Slow,1.4,88.4,,,,,172
,Magikarp,,Water,,Swift Swim,Swift Swim,Rattled,200,20,10,55,15,20,80,,,255,5,70,Fish,0.5,Slow,0.9,10.0,,,,,40
,Gyarados,,Water,Flying,Intimidate,Intimidate,Moxie,540,95,125,79,60,100,81,,,45,5,70,Atrocious,0.5,Slow,6.5,235.0,,,,,189
,Lapras,,Water,Ice,Water Absorb,Shell Armor,Hydration,535,130,85,80,85,95,60,,,45,40,70,Transport,0.5,Slow,2.5,220.0,,,,,187
,Ditto,,Normal,,Limber,Limber,Imposter,288,48,48,48,48,48,48,,,35,20,70,Transform,None,Medium,0.3,4.0,,,,,101
,Eevee,,Normal,,Run Away,Adaptability,Anticipation,325,55,55,50,45,65,55,,,45,35,70,Evolution,0.875,Medium,0.3,6.5,,,,,65
,Vaporeon,,Water,,Water Absorb,Water Absorb,Hydration,525,130,65,60,110,95,65,,,45,35,70,Bubble Jet,0.875,Medium,1.0,29.0,,,,,184
,Jolteon,,Electric,,Volt Absorb,Volt Absorb,Quick Feet,525,65,65,60,110,95,130,,,45,35,70,Lightning,0.875,Medium,0.8,24.5,,,,,184
,Flareon,,Fire,,Flash Fire,Flash Fire,Guts,525,65,130,60,95,110,65,,,45,35,70,Flame,0.875,Medium,0.9,25.0,,,,,184
,Porygon,,Normal,,Trace,Download,Analytic,395,65,60,70,85,75,40,,,45,20,70,Virtual,None,Medium,0.8,36.5,,,,,79
,Omanyte,,Rock,Water,Swift Swim,Shell Armor,Weak Armor,355,35,40,100,90,55,35,,,45,30,70,Spiral,0.875,Medium,0.4,7.5,,,,,71
,Omastar,,Rock,Water,Swift Swim,Shell Armor,Weak Armor,495,70,60,125,115,70,55,,,45,30,70,Spiral,0.875,Medium,1.0,35.0,,,,,173
,Kabuto,,Rock,Water,Swift Swim,Battle Armor,Weak Armor,355,30,80,90,55,45,55,,,45,30,70,Shellfish,0.875,Medium,0.5,11.5,,,,,71
,Kabutops,,Rock,Water,Swift Swim,Battle Armor,Weak Armor,495,60,115,105,65,70,80,,,45,30,70,Shellfish,0.875,Medium,1.3,40.5,,,,,173
,Aerodactyl,,Rock,Flying,Rock Head,Pressure,Unnerve,515,80,105,65,60,75,130,,,45,35,70,Fossil,0.875,Slow,1.8,59.0,,,,,180
,Snorlax,,Normal,,Immunity,Thick Fat,Gluttony,540,160,110,65,65,110,30,,,25,40,70,Sleeping,0.875,Slow,2.1,460.0,,,,,189
,Articuno,,Ice,Flying,Pressure,Pressure,Snow Cloak,580,90,85,100,95,125,85,,,3,80,35,Freeze,None,Slow,1.7,55.4,,,,,5
,Zapdos,,Electric,Flying,Pressure,Pressure,Static,580,90,90,85,125,90,100,,,3,80,35,Electric,None,Slow,1.6,52.6,,,,,5
,Moltres,,Fire,Flying,Pressure,Pressure,Flame Body,580,90,100,90,125,85,90,,,3,80,35,Flame,None,Slow,2.0,60.0,,,,,5
,Dratini,,Dragon,,Shed Skin,Shed Skin,Marvel Scale,300,41,64,45,50,50,50,,,45,40,35,Dragon,0.5,Slow,1.8,3.3,,,,,60
,Dragonair,,Dragon,,Shed Skin,Shed Skin,Marvel Scale,420,61,84,65,70,70,70,,,45,40,35,Dragon,0.5,Slow,4.0,16.5,,,,,147
,Dragonite,,Dragon,Flying,Inner Focus,Inner Focus,Multiscale,600,91,134,95,100,100,80,,,45,40,35,Dragon,0.5,Slow,2.2,210.0,,,,,14
,Mewtwo,,Psychic,,Pressure,Pressure,Unnerve,680,106,110,90,154,90,130,,,3,120,0,Genetic,None,Slow,2.0,122.0,,,,,50
,Mew,,Psychic,,Synchronize,Synchronize,Synchronize,600,100,100,100,100,100,100,,,45,120,100,New Species,None,Parabolic,0.4,4.0,,,,,14
,Chikorita,,Grass,,Overgrow,Overgrow,Leaf Guard,318,45,49,65,49,65,45,,,45,20,70,Leaf,0.875,Parabolic,0.9,6.4,,,,,64
,Bayleef,,Grass,,Overgrow,Overgrow,Leaf Guard,405,60,62,80,63,80,60,,,45,20,70,Leaf,0.875,Parabolic,1.2,15.8,,,,,142
,Meganium,,Grass,,Overgrow,Overgrow,Leaf Guard,525,80,82,100,83,100,80,,,45,20,70,Herb,0.875,Parabolic,1.8,100.5,,,,,236
,Cyndaquil,,Fire,,Blaze,Blaze,Flash Fire,309,39,52,43,60,50,65,,,45,20,70,Fire Mouse,0.875,Parabolic,0.5,7.9,,,,,62
,Quilava,,Fire,,Blaze,Blaze,Flash Fire,405,58,64,58,80,65,80,,,45,20,70,Volcano,0.875,Parabolic,0.9,19.0,,,,,142
,Typhlosion,,Fire,,Blaze,Blaze,Flash Fire,534,78,84,78,109,85,100,,,45,20,70,Volcano,0.875,Parabolic,1.7,79.5,,,,,240
,Totodile,,Water,,Torrent,Torrent,Sheer Force,314,50,65,64,44,48,43,,,45,20,70,Big Jaw,0.875,Parabolic,0.6,9.5,,,,,63
,Croconaw,,Water,,Torrent,Torrent,Sheer Force,405,65,80,80,59,63,58,,,45,20,70,Big Jaw,0.875,Parabolic,1.1,25.0,,,,,142
,Feraligatr,,Water,,Torrent,Torrent,Sheer Force,530,85,105,100,79,83,78,,,45,20,70,Big Jaw,0.875,Parabolic,2.3,88.8,,,,,239
,Sentret,,Normal,,Run Away,Keen Eye,Frisk,215,35,46,34,35,45,20,,,255,15,70,Scout,0.5,Medium,0.8,6.0,,,,,43
,Furret,,Normal,,Run Away,Keen Eye,Frisk,415,85,76,64,45,55,90,,,90,15,70,Long Body,0.5,Medium,1.8,32.5,,,,,145
,Hoothoot,,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,262,60,30,30,36,56,50,,,255,15,70,Owl,0.5,Medium,0.7,21.2,,,,,52
,Noctowl,,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,442,100,50,50,76,96,70,,,90,15,70,Owl,0.5,Medium,1.6,40.8,,,,,155
,Ledyba,,Bug,Flying,Swarm,Early Bird,Rattled,265,40,20,30,40,80,55,,,255,15,70,Five Star,0.5,Fast,1.0,10.8,,,,,53
,Ledian,,Bug,Flying,Swarm,Early Bird,Iron Fist,390,55,35,50,55,110,85,,,90,15,70,Five Star,0.5,Fast,1.4,35.6,,,,,137
,Spinarak,,Bug,Poison,Swarm,Insomnia,Sniper,250,40,60,40,40,40,30,,,255,15,70,String Spit,0.5,Fast,0.5,8.5,,,,,50
