default_form	name	form	type1	type2	ability1	ability2	abilityh	base stat total	hp	attack	defense	special attack	special defense	speed	group1	group2	catch_rate	egg_cycles	base_happiness	category	percentage_male	exp_group	height_m	weight_kg	name_romaji	name_katakana	natdex	is_legendary	is_mythical	is_ub	generation	subgeneration
y	Kakuna		Bug	Poison	Shed Skin	Shed Skin	Shed Skin	205	45	25	50	25	25	35	Bug		120	15	70	Cocoon	0.5	Medium Fast	0.6	10	Cocoon	コクーン	14	FALSE	FALSE	FALSE	1	
y	Beedrill		Bug	Poison	Swarm	Swarm	Sniper	395	65	90	40	45	80	75	Bug		45	15	70	Poison Bee	0.5	Medium Fast	1	29.5	Spear	スピアー	15	FALSE	FALSE	FALSE	1	
	Beedrill	Mega	Bug	Poison	Adaptability	Adaptability	Adaptability	495	65	150	40	15	80	145	Bug		45	15	70	Poison Bee	0.5	Medium Fast	1.4	29.5	Spear	スピアー	15	FALSE	FALSE	FALSE	6	oras
y	Pidgey		Normal	Flying	Keen Eye	Tangled Feet	Big Pecks	251	40	45	40	35	35	56	Flying		255	15	70	Tiny Bird	0.5	Medium Slow	0.3	1.8	Poppo	ポッポ	16	FALSE	FALSE	FALSE	1	
y	Pidgeotto		Normal	Flying	Keen Eye	Tangled Feet	Big Pecks	349	63	60	55	50	50	71	Flying		120	15	70	Bird	0.5	Medium Slow	1.1	30	Pigeon	ピジョン	17	FALSE	FALSE	FALSE	1	
y	Pidgeot		Normal	Flying	Keen Eye	Tangled Feet	Big Pecks	479	83	80	75	70	70	101	Flying		45	15	70	Bird	0.5	Medium Slow	1.5	39.5	Pigeot	ピジョット	18	FALSE	FALSE	FALSE	1	
	Pidgeot	Mega	Normal	Flying	No Guard	No Guard	No Guard	579	83	80	80	135	80	121	Flying		45	15	70	Bird	0.5	Medium Slow	2.2	39.5	Pigeot	ピジョット	18	FALSE	FALSE	FALSE	6	oras
y	Rattata		Normal		Run Away	Guts	Hustle	253	30	56	35	25	35	72	Field		255	15	70	Mouse	0.5	Medium Fast	0.3	3.5	Koratta	コラッタ	19	FALSE	FALSE	FALSE	1	
	Rattata	Alola	Dark	Normal	Gluttony	Hustle	Thick Fat	253	30	56	35	25	35	72	Field		255	15	70	Mouse	0.5	Medium Fast	0.3	3.8	Koratta	コラッタ	19	FALSE	FALSE	FALSE	7	
y	Raticate		Normal		Run Away	Guts	Hustle	413	55	81	60	50	70	97	Field		127	15	70	Mouse	0.5	Medium Fast	0.7	18.5	Ratta	ラッタ	20	FALSE	FALSE	FALSE	1	
	Raticate	Alola	Dark	Normal	Gluttony	Hustle	Thick Fat	413	75	71	70	40	80	77	Field		127	15	70	Mouse	0.5	Medium Fast	0.7	25.5	Ratta	ラッタ	20	FALSE	FALSE	FALSE	7	
y	Spearow		Normal	Flying	Keen Eye	Keen Eye	Sniper	262	40	60	30	31	31	70	Flying		255	15	70	Tiny Bird	0.5	Medium Fast	0.3	2	Onisuzume	オニスズメ	21	FALSE	FALSE	FALSE	1	
y	Fearow		Normal	Flying	Keen Eye	Keen Eye	Sniper	442	65	90	65	61	61	100	Flying		90	15	70	Beak	0.5	Medium Fast	1.2	38	Onidrill	オニドリル	22	FALSE	FALSE	FALSE	1	
y	Ekans		Poison		Intimidate	Shed Skin	Unnerve	288	35	60	44	40	54	55	Field	Dragon	255	20	70	Snake	0.5	Medium Fast	2	6.9	Arbo	アーボ	23	FALSE	FALSE	FALSE	1	
y	Arbok		Poison		Intimidate	Shed Skin	Unnerve	448	60	95	69	65	79	80	Field	Dragon	90	20	70	Cobra	0.5	Medium Fast	3.5	65	Arbok	アーボック	24	FALSE	FALSE	FALSE	1	
y	Pikachu		Electric		Static	Static	Lightningrod	320	35	55	40	50	50	90	Field	Fairy	190	10	70	Mouse	0.5	Medium Fast	0.4	6	Pikachu	ピカチュウ	25	FALSE	FALSE	FALSE	1	
	Pikachu	Cosplay	Electric		Static	Static	Lightningrod	320	35	55	40	50	50	90	Field	Fairy	190	10	70	Mouse	0.5	Medium Fast	0.4	6	Pikachu	ピカチュウ	25	FALSE	FALSE	FALSE	1	
	Pikachu	Rock Star	Electric		Static	Static	Lightningrod	320	35	55	40	50	50	90	Field	Fairy	190	10	70	Mouse	0.5	Medium Fast	0.4	6	Pikachu	ピカチュウ	25	FALSE	FALSE	FALSE	1	
	Pikachu	Belle	Electric		Static	Static	Lightningrod	320	35	55	40	50	50	90	Field	Fairy	190	10	70	Mouse	0.5	Medium Fast	0.4	6	Pikachu	ピカチュウ	25	FALSE	FALSE	FALSE	1	
	Pikachu	Pop Star	Electric		Static	Static	Lightningrod	320	35	55	40	50	50	90	Field	Fairy	190	10	70	Mouse	0.5	Medium Fast	0.4	6	Pikachu	ピカチュウ	25	FALSE	FALSE	FALSE	1	
	Pikachu	PhD.	Electric		Static	Static	Lightningrod	320	35	55	40	50	50	90	Field	Fairy	190	10	70	Mouse	0.5	Medium Fast	0.4	6	Pikachu	ピカチュウ	25	FALSE	FALSE	FALSE	1	
	Pikachu	Libre	Electric		Static	Static	Lightningrod	320	35	55	40	50	50	90	Field	Fairy	190	10	70	Mouse	0.5	Medium Fast	0.4	6	Pikachu	ピカチュウ	25	FALSE	FALSE	FALSE	1	
	Pikachu	Original Cap	Electric		Static	Static	Lightningrod	320	35	55	40	50	50	90	Field	Fairy	190	10	70	Mouse	0.5	Medium Fast	0.4	6	Pikachu	ピカチュウ	25	FALSE	FALSE	FALSE	1	
	Pikachu	Hoenn Cap	Electric		Static	Static	Lightningrod	320	35	55	40	50	50	90	Field	Fairy	190	10	70	Mouse	0.5	Medium Fast	0.4	6	Pikachu	ピカチュウ	25	FALSE	FALSE	FALSE	1	
	Pikachu	Sinnoh Cap	Electric		Static	Static	Lightningrod	320	35	55	40	50	50	90	Field	Fairy	190	10	70	Mouse	0.5	Medium Fast	0.4	6	Pikachu	ピカチュウ	25	FALSE	FALSE	FALSE	1	
	Pikachu	Unova Cap	Electric		Static	Static	Lightningrod	320	35	55	40	50	50	90	Field	Fairy	190	10	70	Mouse	0.5	Medium Fast	0.4	6	Pikachu	ピカチュウ	25	FALSE	FALSE	FALSE	1	
	Pikachu	Kalos Cap	Electric		Static	Static	Lightningrod	320	35	55	40	50	50	90	Field	Fairy	190	10	70	Mouse	0.5	Medium Fast	0.4	6	Pikachu	ピカチュウ	25	FALSE	FALSE	FALSE	1	
	Pikachu	Alola Cap	Electric		Static	Static	Lightningrod	320	35	55	40	50	50	90	Field	Fairy	190	10	70	Mouse	0.5	Medium Fast	0.4	6	Pikachu	ピカチュウ	25	FALSE	FALSE	FALSE	1	
	Pikachu	Partner Cap	Electric		Static	Static	Lightningrod	320	35	55	40	50	50	90	Field	Fairy	190	10	70	Mouse	0.5	Medium Fast	0.4	6	Pikachu	ピカチュウ	25	FALSE	FALSE	FALSE	1	
	Pikachu	Partner	Electric		Static	Static	Lightningrod	430	45	80	50	75	60	120	Field	Fairy	190	10	70	Mouse	0.5	Medium Fast	0.4	6	Pikachu	ピカチュウ	25	FALSE	FALSE	FALSE	1	
	Pikachu	World Cap	Electric		Static	Static	Lightningrod	320	35	55	40	50	50	90	Field	Fairy	190	10	70	Mouse	0.5	Medium Fast	0.4	6	Pikachu	ピカチュウ	25	FALSE	FALSE	FALSE	1	
y	Raichu		Electric		Static	Static	Lightningrod	485	60	90	55	90	80	110	Field	Fairy	75	10	70	Mouse	0.5	Medium Fast	0.8	30	Raichu	ライチュウ	26	FALSE	FALSE	FALSE	1	
	Raichu	Alola	Electric	Psychic	Surge Surfer	Surge Surfer	Surge Surfer	485	60	85	50	95	85	110	Field	Fairy	75	10	70	Mouse	0.5	Medium Fast	0.7	21	Raichu	ライチュウ	26	FALSE	FALSE	FALSE	7	
y	Sandshrew		Ground		Sand Veil	Sand Veil	Sand Rush	300	50	75	90	10	35	40	Field		255	20	70	Mouse	0.5	Medium Fast	0.6	12	Sand	サンド	27	FALSE	FALSE	FALSE	1	
	Sandshrew	Alola	Ice	Steel	Snow Cloak	Snow Cloak	Slush Rush	300	50	75	90	10	35	40	Field		255	20	70	Mouse	0.5	Medium Fast	0.7	40	Sand	サンド	27	FALSE	FALSE	FALSE	7	
y	Sandslash		Ground		Sand Veil	Sand Veil	Sand Rush	450	75	100	110	45	55	65	Field		90	20	70	Mouse	0.5	Medium Fast	1	29.5	Sandpan	サンドパン	28	FALSE	FALSE	FALSE	1	
	Sandslash	Alola	Ice	Steel	Snow Cloak	Snow Cloak	Slush Rush	450	75	100	120	25	65	65	Field		90	20	70	Mouse	0.5	Medium Fast	1.2	55	Sandpan	サンドパン	28	FALSE	FALSE	FALSE	7	
y	Nidoran♀		Poison		Poison Point	Rivalry	Hustle	275	55	47	52	40	40	41	Monster	Field	235	20	70	Poison Pin	0	Medium Slow	0.4	7	Nidoran♀	ニドラン♀	29	FALSE	FALSE	FALSE	1	
y	Nidorina		Poison		Poison Point	Rivalry	Hustle	365	70	62	67	55	55	56	NoEggsDiscovered		120	20	70	Poison Pin	0	Medium Slow	0.8	20	Nidorina	ニドリーナ	30	FALSE	FALSE	FALSE	1	
y	Nidoqueen		Poison	Ground	Poison Point	Rivalry	Sheer Force	505	90	92	87	75	85	76	NoEggsDiscovered		45	20	70	Drill	0	Medium Slow	1.3	60	Nidoqueen	ニドクイン	31	FALSE	FALSE	FALSE	1	
y	Nidoran♂		Poison		Poison Point	Rivalry	Hustle	273	46	57	40	40	40	50	Monster	Field	235	20	70	Poison Pin	1	Medium Slow	0.5	9	Nidoran♂	ニドラン♂	32	FALSE	FALSE	FALSE	1	
y	Nidorino		Poison		Poison Point	Rivalry	Hustle	365	61	72	57	55	55	65	Monster	Field	120	20	70	Poison Pin	1	Medium Slow	0.9	19.5	Nidorino	ニドリーノ	33	FALSE	FALSE	FALSE	1	
y	Nidoking		Poison	Ground	Poison Point	Rivalry	Sheer Force	505	81	102	77	85	75	85	Monster	Field	45	20	70	Drill	1	Medium Slow	1.4	62	Nidoking	ニドキング	34	FALSE	FALSE	FALSE	1	
y	Clefairy		Fairy		Cute Charm	Magic Guard	Friend Guard	323	70	45	48	60	65	35	Fairy		150	10	140	Fairy	0.25	Fast	0.6	7.5	Pipi	ピッピ	35	FALSE	FALSE	FALSE	1	
y	Clefable		Fairy		Cute Charm	Magic Guard	Unaware	483	95	70	73	95	90	60	Fairy		25	10	140	Fairy	0.25	Fast	1.3	40	Pixi	ピクシー	36	FALSE	FALSE	FALSE	1	
y	Vulpix		Fire		Flash Fire	Flash Fire	Drought	299	38	41	40	50	65	65	Field		190	20	70	Fox	0.25	Medium Fast	0.6	9.9	Rokon	ロコン	37	FALSE	FALSE	FALSE	1	
	Vulpix	Alola	Ice	Fairy	Snow Cloak	Snow Cloak	Snow Warning	299	38	41	40	50	65	65	Field		190	20	70	Fox	0.25	Medium Fast	0.6	9.9	Rokon	ロコン	37	FALSE	FALSE	FALSE	7	
y	Ninetales		Fire		Flash Fire	Flash Fire	Drought	505	73	67	75	81	100	109	Field		75	20	70	Fox	0.25	Medium Fast	1.1	19.9	Kyukon	キュウコン	38	FALSE	FALSE	FALSE	1	
	Ninetales	Alola	Ice	Fairy	Snow Cloak	Snow Cloak	Snow Warning	505	73	67	75	81	100	109	Field		75	20	70	Fox	0.25	Medium Fast	1.1	19.9	Kyukon	キュウコン	38	FALSE	FALSE	FALSE	7	
y	Jigglypuff		Normal	Fairy	Cute Charm	Competitive	Friend Guard	270	115	45	20	45	25	20	Fairy		170	10	70	Balloon	0.25	Fast	0.5	5.5	Purin	プリン	39	FALSE	FALSE	FALSE	1	
y	Wigglytuff		Normal	Fairy	Cute Charm	Competitive	Frisk	435	140	70	45	85	50	45	Fairy		150	10	70	Balloon	0.25	Fast	1	12	Pukurin	プクリン	40	FALSE	FALSE	FALSE	1	
y	Zubat		Poison	Flying	Inner Focus	Inner Focus	Infiltrator	245	40	45	35	30	40	55	Flying		255	15	70	Bat	0.5	Medium Fast	0.8	7.5	Zubat	ズバット	41	FALSE	FALSE	FALSE	1	
y	Golbat		Poison	Flying	Inner Focus	Inner Focus	Infiltrator	455	75	80	70	65	75	90	Flying		90	15	70	Bat	0.5	Medium Fast	1.6	55	Gorubat	ゴルバット	42	FALSE	FALSE	FALSE	1	
y	Oddish		Grass	Poison	Chlorophyll	Chlorophyll	Run Away	320	45	50	55	75	65	30	Grass		255	20	70	Weed	0.5	Medium Slow	0.5	5.4	Nazonokusa	ナゾノクサ	43	FALSE	FALSE	FALSE	1	
y	Gloom		Grass	Poison	Chlorophyll	Chlorophyll	Stench	395	60	65	70	85	75	40	Grass		120	20	70	Weed	0.5	Medium Slow	0.8	8.6	Kusaihana	クサイハナ	44	FALSE	FALSE	FALSE	1	
y	Vileplume		Grass	Poison	Chlorophyll	Chlorophyll	Effect Spore	490	75	80	85	110	90	50	Grass		45	20	70	Flower	0.5	Medium Slow	1.2	18.6	Ruffresia	ラフレシア	45	FALSE	FALSE	FALSE	1	
y	Paras		Bug	Grass	Effect Spore	Dry Skin	Damp	285	35	70	55	45	55	25	Bug	Grass	190	20	70	Mushroom	0.5	Medium Fast	0.3	5.4	Paras	パラス	46	FALSE	FALSE	FALSE	1	
y	Parasect		Bug	Grass	Effect Spore	Dry Skin	Damp	405	60	95	80	60	80	30	Bug	Grass	75	20	70	Mushroom	0.5	Medium Fast	1	29.5	Parasect	パラセクト	47	FALSE	FALSE	FALSE	1	
y	Venonat		Bug	Poison	Compound Eyes	Tinted Lens	Run Away	305	60	55	50	40	55	45	Bug		190	20	70	Insect	0.5	Medium Fast	1	30	Kongpang	コンパン	48	FALSE	FALSE	FALSE	1	
y	Venomoth		Bug	Poison	Shield Dust	Tinted Lens	Wonder Skin	450	70	65	60	90	75	90	Bug		75	20	70	Poison Moth	0.5	Medium Fast	1.5	12.5	Morfon	モルフォン	49	FALSE	FALSE	FALSE	1	
y	Diglett		Ground		Sand Veil	Arena Trap	Sand Force	265	10	55	25	35	45	95	Field		255	20	70	Mole	0.5	Medium Fast	0.2	0.8	Digda	ディグダ	50	FALSE	FALSE	FALSE	1	
	Diglett	Alola	Ground	Steel	Sand Veil	Tangling Hair	Sand Force	265	10	55	30	35	45	90	Field		255	20	70	Mole	0.5	Medium Fast	0.2	1	Digda	ディグダ	50	FALSE	FALSE	FALSE	7	
y	Dugtrio		Ground		Sand Veil	Arena Trap	Sand Force	425	35	100	50	50	70	120	Field		50	20	70	Mole	0.5	Medium Fast	0.7	33.3	Dugtrio	ダグトリオ	51	FALSE	FALSE	FALSE	1	
	Dugtrio	Alola	Ground	Steel	Sand Veil	Tangling Hair	Sand Force	425	35	100	60	50	70	110	Field		50	20	70	Mole	0.5	Medium Fast	0.7	66.6	Dugtrio	ダグトリオ	51	FALSE	FALSE	FALSE	7	
y	Meowth		Normal		Pickup	Technician	Unnerve	290	40	45	35	40	40	90	Field		255	20	70	Scratch Cat	0.5	Medium Fast	0.4	4.2	Nyarsu	ニャース	52	FALSE	FALSE	FALSE	1	
	Meowth	Alola	Dark		Pickup	Technician	Rattled	290	40	35	35	50	40	90	Field		255	20	70	Scratch Cat	0.5	Medium Fast	0.4	4.2	Nyarsu	ニャース	52	FALSE	FALSE	FALSE	7	
	Meowth	Galar	Steel		Pickup	Tough Claws	Unnerve	290	50	65	55	40	40	40	Field		255	20	70	Scratch Cat	0.5	Medium Fast	0.4	7.5	Nyarsu	ニャース	52	FALSE	FALSE	FALSE	8	
y	Persian		Normal		Limber	Technician	Unnverse	440	65	70	60	65	65	115	Field		90	20	70	Classy Cat	0.5	Medium Fast	1	32	Persian	ペルシアン	53	FALSE	FALSE	FALSE	1	
	Persian	Alola	Dark		Fur Coat	Technician	Rattled	440	65	60	60	75	65	115	Field		90	20	70	Classy Cat	0.5	Medium Fast	1.1	33	Persian	ペルシアン	53	FALSE	FALSE	FALSE	7	
y	Psyduck		Water		Damp	Cloud Nine	Swift Swim	320	50	52	48	65	50	55	Water1	Field	190	20	70	Duck	0.5	Medium Fast	0.8	19.6	Koduck	コダック	54	FALSE	FALSE	FALSE	1	
y	Golduck		Water		Damp	Cloud Nine	Swift Swim	500	80	82	78	95	80	85	Water1	Field	75	20	70	Duck	0.5	Medium Fast	1.7	76.6	Golduck	ゴルダック	55	FALSE	FALSE	FALSE	1	
y	Mankey		Fighting		Vital Spirit	Anger Point	Defiant	305	40	80	35	35	45	70	Field		190	20	70	Pig Monkey	0.5	Medium Fast	0.5	28	Manki	マンキー	56	FALSE	FALSE	FALSE	1	
y	Primeape		Fighting		Vital Spirit	Anger Point	Defiant	455	65	105	60	60	70	95	Field		75	20	70	Pig Monkey	0.5	Medium Fast	1	32	Okorizaru	オコリザル	57	FALSE	FALSE	FALSE	1	
y	Growlithe		Fire		Intimidate	Flash Fire	Justified	350	55	70	45	70	50	60	Field		190	20	70	Puppy	0.75	Slow	0.7	19	Gardi	ガーディ	58	FALSE	FALSE	FALSE	1	
	Growlithe	Hisui	Fire	Rock	Intimidate	Flash Fire	Rock Head	350	60	75	45	65	50	55	Field		190	20	70	Puppy	0.75	Slow	0.8	22.7	Gardi	ガーディ	58	FALSE	FALSE	FALSE	1	
y	Arcanine		Fire		Intimidate	Flash Fire	Justified	555	90	110	80	100	80	95	Field		75	20	70	Legendary	0.75	Slow	1.9	155	Windi	ウインディ	59	FALSE	FALSE	FALSE	1	
	Arcanine	Hisui	Fire	Rock	Intimidate	Flash Fire	Rock Head	555	95	115	80	95	80	90	Field		75	20	70	Legendary	0.75	Slow	2	168	Windi	ウインディ	59	FALSE	FALSE	FALSE	1	
y	Poliwag		Water		Water Absorb	Damp	Swift Swim	300	40	50	40	40	40	90	Water1		255	20	70	Tadpole	0.5	Medium Slow	0.6	12.4	Nyoromo	ニョロモ	60	FALSE	FALSE	FALSE	1	
y	Poliwhirl		Water		Water Absorb	Damp	Swift Swim	385	65	65	65	50	50	90	Water1		120	20	70	Tadpole	0.5	Medium Slow	1	20	Nyorozo	ニョロゾ	61	FALSE	FALSE	FALSE	1	
y	Poliwrath		Water	Fighting	Water Absorb	Damp	Swift Swim	510	90	95	95	70	90	70	Water1		45	20	70	Tadpole	0.5	Medium Slow	1.3	54	Nyorobon	ニョロボン	62	FALSE	FALSE	FALSE	1	
y	Abra		Psychic		Synchronize	Inner Focus	Magic Guard	310	25	20	15	105	55	90	Human-Like		200	20	70	Psi	0.75	Medium Slow	0.9	19.5	Keisi	ケーシィ	63	FALSE	FALSE	FALSE	1	
y	Kadabra		Psychic		Synchronize	Inner Focus	Magic Guard	400	40	35	30	120	70	105	Human-Like		100	20	70	Psi	0.75	Medium Slow	1.3	56.5	Yungera	ユンゲラー	64	FALSE	FALSE	FALSE	1	
y	Alakazam		Psychic		Synchronize	Inner Focus	Magic Guard	500	55	50	45	135	95	120	Human-Like		50	20	70	Psi	0.75	Medium Slow	1.5	48	Fudin	フーディン	65	FALSE	FALSE	FALSE	1	
	Alakazam	Mega	Psychic		Trace	Trace	Trace	600	55	50	65	175	105	150	Human-Like		50	20	70	Psi	0.75	Medium Slow	1.2	48	Fudin	フーディン	65	FALSE	FALSE	FALSE	6	
y	Machop		Fighting		Guts	No Guard	Steadfast	305	70	80	50	35	35	35	Human-Like		180	20	70	Superpower	0.75	Medium Slow	0.8	19.5	Wanriki	ワンリキー	66	FALSE	FALSE	FALSE	1	
y	Machoke		Fighting		Guts	No Guard	Steadfast	405	80	100	70	50	60	45	Human-Like		90	20	70	Superpower	0.75	Medium Slow	1.5	70.5	Goriki	ゴーリキー	67	FALSE	FALSE	FALSE	1	
y	Machamp		Fighting		Guts	No Guard	Steadfast	505	90	130	80	65	85	55	Human-Like		45	20	70	Superpower	0.75	Medium Slow	1.6	130	Kairiki	カイリキー	68	FALSE	FALSE	FALSE	1	
y	Bellsprout		Grass	Poison	Chlorophyll	Chlorophyll	Gluttony	300	50	75	35	70	30	40	Grass		255	20	70	Flower	0.5	Medium Slow	0.7	4	Madatsubomi	マダツボミ	69	FALSE	FALSE	FALSE	1	
y	Weepinbell		Grass	Poison	Chlorophyll	Chlorophyll	Gluttony	390	65	90	50	85	45	55	Grass		120	20	70	Flycatcher	0.5	Medium Slow	1	6.4	Utsudon	ウツドン	70	FALSE	FALSE	FALSE	1	
y	Victreebel		Grass	Poison	Chlorophyll	Chlorophyll	Gluttony	490	80	105	65	100	70	70	Grass		45	20	70	Flycatcher	0.5	Medium Slow	1.7	15.5	Utsubot	ウツボット	71	FALSE	FALSE	FALSE	1	
y	Tentacool		Water	Poison	Clear Body	Liquid Ooze	Rain Dish	335	40	40	35	50	100	70	Water3		190	20	70	Jellyfish	0.5	Slow	0.9	45.5	Menokurage	メノクラゲ	72	FALSE	FALSE	FALSE	1	
y	Tentacruel		Water	Poison	Clear Body	Liquid Ooze	Rain Dish	515	80	70	65	80	120	100	Water3		60	20	70	Jellyfish	0.5	Slow	1.6	55	Dokukurage	ドククラゲ	73	FALSE	FALSE	FALSE	1	
y	Geodude		Rock	Ground	Rock Head	Sturdy	Sand Veil	300	40	80	100	30	30	20	Mineral		255	15	70	Rock	0.5	Medium Slow	0.4	20	Isitsubute	イシツブテ	74	FALSE	FALSE	FALSE	1	
	Geodude	Alola	Rock	Electric	Magnet Pull	Sturdy	Galvanize	300	40	80	100	30	30	20	Mineral		255	15	70	Rock	0.5	Medium Slow	0.4	20.3	Isitsubute	イシツブテ	74	FALSE	FALSE	FALSE	7	
y	Graveler		Rock	Ground	Rock Head	Sturdy	Sand Veil	390	55	95	115	45	45	35	Mineral		120	15	70	Rock	0.5	Medium Slow	1	105	Gorone	ゴローン	75	FALSE	FALSE	FALSE	1	
	Graveler	Alola	Rock	Electric	Magnet Pull	Sturdy	Galvanize	390	55	95	115	45	45	35	Mineral		120	15	70	Rock	0.5	Medium Slow	1	110	Gorone	ゴローン	75	FALSE	FALSE	FALSE	7	
y	Golem		Rock	Ground	Rock Head	Sturdy	Sand Veil	495	80	120	130	55	65	45	Mineral		45	15	70	Megaton	0.5	Medium Slow	1.4	300	Goronya	ゴローニャ	76	FALSE	FALSE	FALSE	1	
	Golem	Alola	Rock	Electric	Magnet Pull	Sturdy	Galvanize	495	80	120	130	55	65	45	Mineral		45	15	70	Megaton	0.5	Medium Slow	1.4	316	Goronya	ゴローニャ	76	FALSE	FALSE	FALSE	7	
y	Ponyta		Fire		Run Away	Flash Fire	Flame Body	410	50	85	55	65	65	90	Field		190	20	70	Fire Horse	0.5	Medium Fast	1	30	Ponita	ポニータ	77	FALSE	FALSE	FALSE	1	
	Ponyta	Galar	Psychic		Run Away	Pastel Veil	Anticipation	410	50	85	55	65	65	90	Field		190	20	70	Unique Horn	0.5	Medium Fast	0.8	30	Ponita	ポニータ	77	FALSE	FALSE	FALSE	8	
y	Rapidash		Fire		Run Away	Flash Fire	Flame Body	500	65	100	70	80	80	105	Field		60	20	70	Fire Horse	0.5	Medium Fast	1.7	95	Gallop	ギャロップ	78	FALSE	FALSE	FALSE	1	
	Rapidash	Galar	Psychic	Fairy	Run Away	Pastel Veil	Anticipation	500	65	100	70	80	80	105	Field		60	20	70	Unique Horn	0.5	Medium Fast	1.7	95	Gallop	ギャロップ	78	FALSE	FALSE	FALSE	8	
y	Slowpoke		Water	Psychic	Oblivious	Own Tempo	Regenerator	315	90	65	65	40	40	15	Monster	Water1	190	20	70	Dopey	0.5	Medium Fast	1.2	36	Yadon	ヤドン	79	FALSE	FALSE	FALSE	1	
